kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos,risk_pred,risk_proba_severe
Bandung,1,21.45,89.79,69.89,26.46,244.2,0.6791,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.4999999999999999,0.8660254037844387,0,0.0
Bandung,1,21.45,89.79,69.89,26.46,244.2,0.6791,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.4999999999999999,0.8660254037844387,0,0.0
Kota Cimahi,1,22.99,88.71,72.43,32.89,179.1,0.355,1,cimahi,Kota Cimahi,1140,28.5,0.0263157894736842,0.4999999999999999,0.8660254037844387,1,0.0009586940754305132
Kota Tasikmalaya,1,24.16,89.28,74.45,30.28,253.8,0.636,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.4999999999999999,0.8660254037844387,1,0.0023273953460614494
Kota Tasikmalaya,1,24.16,89.28,74.45,30.28,253.8,0.636,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.4999999999999999,0.8660254037844387,1,0.000390093758759862
Tasikmalaya,1,24.3,88.67,74.63,28.5,225.5,0.7797,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.4999999999999999,0.8660254037844387,1,0.0005422908164447245
Tasikmalaya,1,24.3,88.67,74.63,28.5,225.5,0.7797,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.4999999999999999,0.8660254037844387,1,0.0026180939405237103
Ciamis,1,25.05,88.64,75.9,29.0,269.1,0.7451,1,ciamis,Kabupaten Ciamis,546900,381.6468946266573,0.0073139513622234,0.4999999999999999,0.8660254037844387,1,0.00010915032679738562
Kota Banjar,1,25.98,89.32,77.54,30.75,298.1,0.6688,1,banjar,Kota Banjar,10610,93.0701754385965,0.0188501413760603,0.4999999999999999,0.8660254037844387,1,0.000375
Bekasi,1,26.73,85.29,78.33,30.25,242.7,0.374,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.4999999999999999,0.8660254037844387,1,0.004195118802765861
Bekasi,1,26.73,85.29,78.33,30.25,242.7,0.374,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,0.4999999999999999,0.8660254037844387,1,0.013330635546558469
Bogor,1,24.32,87.71,74.58,26.8,321.2,0.6214,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.4999999999999999,0.8660254037844387,1,2.4390243902439026e-05
Bogor,1,24.32,87.71,74.58,26.8,321.2,0.6214,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.4999999999999999,0.8660254037844387,1,0.0001858076563958917
Cianjur,1,23.41,89.46,73.2,27.8,245.4,0.7477,1,cianjur,Kabupaten Cianjur,611500,175.7183908045977,0.008176614881439,0.4999999999999999,0.8660254037844387,1,0.00037284637200028016
Cirebon,1,26.46,86.89,78.06,30.44,345.8,0.5048,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,0.4999999999999999,0.8660254037844387,1,6.883468834688347e-05
Cirebon,1,26.46,86.89,78.06,30.44,345.8,0.5048,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,0.4999999999999999,0.8660254037844387,1,0.00023708970767794297
Garut,1,22.34,89.24,71.38,27.12,214.7,0.7625,0,garut,Kabupaten Garut,1371800,447.5693311582382,0.0182242309374544,0.4999999999999999,0.8660254037844387,0,0.0001095890410958904
Indramayu,1,26.66,86.97,78.41,30.83,276.4,0.3645,1,indramayu,Kabupaten Indramayu,175600,83.65888518342068,0.0005694760820045,0.4999999999999999,0.8660254037844387,1,0.03534206349206349
Karawang,1,26.68,85.63,78.29,29.95,233.9,0.4254,1,karawang,Kabupaten Karawang,107600,65.13317191283294,0.0009293680297397,0.4999999999999999,0.8660254037844387,1,0.00582913386629312
Kota Bandung,1,22.7,89.35,71.98,33.28,216.9,0.349,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.4999999999999999,0.8660254037844387,0,0.0
Kota Bandung,1,22.7,89.35,71.98,33.28,216.9,0.349,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.4999999999999999,0.8660254037844387,0,0.00034169278996865206
Kota Bogor,1,24.83,87.75,75.43,28.54,341.9,0.5262,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.4999999999999999,0.8660254037844387,1,6.883468834688347e-05
Kota Bogor,1,24.83,87.75,75.43,28.54,341.9,0.5262,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.4999999999999999,0.8660254037844387,1,0.0001858076563958917
Kota Cirebon,1,25.93,86.92,77.18,34.7,359.0,0.4662,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,0.4999999999999999,0.8660254037844387,1,0.0007961074156196108
Kota Cirebon,1,25.93,86.92,77.18,34.7,359.0,0.4662,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,0.4999999999999999,0.8660254037844387,1,0.001610105580693816
Kota Sukabumi,1,23.01,90.16,72.59,32.14,303.3,0.5305,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,0.4999999999999999,0.8660254037844387,1,2.4390243902439026e-05
Kota Sukabumi,1,23.01,90.16,72.59,32.14,303.3,0.5305,1,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,0.4999999999999999,0.8660254037844387,1,0.0002101979002983307
Kuningan,1,24.53,89.56,75.11,29.44,346.5,0.7149,1,kuningan,Kabupaten Kuningan,388700,347.9856759176365,0.0077180344738873,0.4999999999999999,0.8660254037844387,1,4.4444444444444447e-05
Majalengka,1,24.62,89.38,75.25,28.42,341.4,0.6165,1,majalengka,Kabupaten Majalengka,290500,241.27906976744185,0.0017211703958691,0.4999999999999999,0.8660254037844387,1,2.4390243902439026e-05
Purwakarta,1,25.0,87.71,75.72,29.74,265.9,0.4927,1,purwakarta,Kabupaten Purwakarta,145250,176.06060606060606,0.0010327022375215,0.4999999999999999,0.8660254037844387,1,8.909612625538022e-05
Subang,1,25.58,87.56,76.68,30.29,268.5,0.5054,1,subang,Kabupaten Subang,206200,109.506107275624,0.0009699321047526,0.4999999999999999,0.8660254037844387,1,8.909612625538022e-05
Sukabumi,1,23.95,89.89,74.15,28.31,276.9,0.7571,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,0.4999999999999999,0.8660254037844387,1,5e-05
Sukabumi,1,23.95,89.89,74.15,28.31,276.9,0.7571,1,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,0.4999999999999999,0.8660254037844387,1,0.00023580765639589167
Sumedang,1,23.8,90.01,73.91,27.67,315.9,0.7052,1,sumedang,Kabupaten Sumedang,286500,188.23915900131405,0.0069808027923211,0.4999999999999999,0.8660254037844387,1,0.0
Kota Bekasi,1,26.62,85.06,78.11,38.68,260.1,0.248,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.4999999999999999,0.8660254037844387,1,0.018743838383838383
Kota Bekasi,1,26.62,85.06,78.11,38.68,260.1,0.248,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,0.4999999999999999,0.8660254037844387,1,0.01901904761904762
Kota Depok,1,26.16,86.05,77.47,37.82,325.1,0.4319,1,depok,Kota Depok,610,3.05,0.0163934426229508,0.4999999999999999,0.8660254037844387,1,0.0005130118108841512
Bandung,2,21.59,89.9,70.14,26.58,267.9,0.7181,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.8660254037844386,0.5000000000000001,0,0.0
Bandung,2,21.59,89.9,70.14,26.58,267.9,0.7181,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.8660254037844386,0.5000000000000001,0,0.0
Kota Cimahi,2,22.98,89.66,72.49,35.72,160.9,0.3623,1,cimahi,Kota Cimahi,1140,28.5,0.0263157894736842,0.8660254037844386,0.5000000000000001,1,0.005559244227704802
Kota Tasikmalaya,2,24.36,89.33,74.8,28.55,315.0,0.6714,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.8660254037844386,0.5000000000000001,1,0.00041944444444444445
Kota Tasikmalaya,2,24.36,89.33,74.8,28.55,315.0,0.6714,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.8660254037844386,0.5000000000000001,1,0.000375
Tasikmalaya,2,24.6,88.26,75.1,27.72,256.1,0.8002,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.8660254037844386,0.5000000000000001,1,0.004226760758267607
Tasikmalaya,2,24.6,88.26,75.1,27.72,256.1,0.8002,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.8660254037844386,0.5000000000000001,1,0.00018231631382316312
