kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos
Bandung,1,21.45,89.79,69.89,26.46,244.2,0.6791,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.07569721115537849,0.49999999999999994,0.8660254037844387
Bandung,1,21.45,89.79,69.89,26.46,244.2,0.6791,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017096,0.49999999999999994,0.8660254037844387
Kota Cimahi,1,22.99,88.71,72.43,32.89,179.1,0.355,1,cimahi,Kota Cimahi,1140,28.5,0.02631578947368421,0.49999999999999994,0.8660254037844387
Kota Tasikmalaya,1,24.16,89.28,74.45,30.28,253.8,0.636,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.015965939329430547,0.49999999999999994,0.8660254037844387
Kota Tasikmalaya,1,24.16,89.28,74.45,30.28,253.8,0.636,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652173,0.024067388688327317,0.49999999999999994,0.8660254037844387
Tasikmalaya,1,24.3,88.67,74.63,28.5,225.5,0.7797,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.015965939329430547,0.49999999999999994,0.8660254037844387
Tasikmalaya,1,24.3,88.67,74.63,28.5,225.5,0.7797,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652173,0.024067388688327317,0.49999999999999994,0.8660254037844387
Ciamis,1,25.05,88.64,75.9,29.0,269.1,0.7451,1,ciamis,Kabupaten Ciamis,546900,381.64689462665734,0.007313951362223441,0.49999999999999994,0.8660254037844387
Kota Banjar,1,25.98,89.32,77.54,30.75,298.1,0.6688,1,banjar,Kota Banjar,10610,93.0701754385965,0.01885014137606032,0.49999999999999994,0.8660254037844387
Bekasi,1,26.73,85.29,78.33,30.25,242.7,0.374,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099279,0.49999999999999994,0.8660254037844387
Bekasi,1,26.73,85.29,78.33,30.25,242.7,0.374,1,bekasi,Kota Bekasi,920,4.380952380952381,0.021739130434782608,0.49999999999999994,0.8660254037844387
Bogor,1,24.32,87.71,74.58,26.8,321.2,0.6214,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.008951788226267104,0.49999999999999994,0.8660254037844387
Bogor,1,24.32,87.71,74.58,26.8,321.2,0.6214,1,bogor,Kota Bogor,4600,38.983050847457626,0.021739130434782608,0.49999999999999994,0.8660254037844387
