kabupaten,sapi_potong,sapi_perah,kerbau,kambing,domba,tahun,E_enteric_sapi_potong,E_manure_CH4_sapi_potong,E_manure_N2O_sapi_potong,E_enteric_sapi_perah,E_manure_CH4_sapi_perah,E_manure_N2O_sapi_perah,E_enteric_kerbau,E_manure_CH4_kerbau,E_manure_N2O_kerbau,E_enteric_kambing,E_manure_CH4_kambing,E_manure_N2O_kambing,E_enteric_domba,E_manure_CH4_domba,E_manure_N2O_domba,total_CH4_t,total_N2O_t,total_CO2eq_t,tier,total_ternak,ghg_intensity
Bogor,19995.0,5671.0,4894.0,83791.0,200751.0,2024,939.765,19.995,13.1967,669.178,90.736,6.69178,269.17,9.788,2.447,418.955,14.244470000000002,13.406559999999999,1003.755,56.210280000000004,32.12016,3491.7967500000004,67.8622,115753.79200000002,MERAH,315102.0,0.36735340302505226
Sukabumi,19387.0,2095.0,6516.0,95491.0,310216.0,2024,911.189,19.387,12.79542,247.21,33.52,2.4720999999999997,358.38,13.032,3.258,477.455,16.23347,15.278559999999999,1551.08,86.86048000000001,49.63456,3714.34695,83.43863999999999,126112.95420000001,MERAH,433705.0,0.2907804941146632
Cianjur,21434.0,1614.0,6627.0,92015.0,474962.0,2024,1007.398,21.434,14.14644,190.452,25.824,1.90452,364.485,13.254,3.3135,460.075,15.642550000000002,14.7224,2374.81,132.98936,75.99392,4606.36391,110.08078,158149.59618,MERAH,596652.0,0.26506170461173345
Bandung,23465.0,25449.0,2131.0,25140.0,240092.0,2024,1102.855,23.465,15.486900000000002,3002.982,407.184,30.02982,117.205,4.262,1.0655,125.7,4.2738000000000005,4.0224,1200.46,67.22576000000001,38.41472,6055.61256,89.01934,193147.27678,MERAH,316277.0,0.6106902391890653
Garut,30683.0,11112.0,4489.0,29313.0,651781.0,2024,1442.101,30.683,20.250780000000002,1311.216,177.792,13.11216,246.895,8.978,2.2445,146.565,4.98321,4.69008,3258.905,182.49868000000004,104.28496000000001,6810.61689,144.58248000000003,229011.63012000002,MERAH,727378.0,0.31484541754081097
Tasikmalaya,25960.0,1440.0,2111.0,35879.0,162606.0,2024,1220.12,25.96,17.1336,169.92,23.04,1.6991999999999998,116.105,4.222,1.0555,179.395,6.09943,5.74064,813.03,45.529680000000006,26.016959999999997,2603.4211099999998,51.6459,86581.95457999999,MERAH,227996.0,0.3797520771417042
Ciamis,6292.0,19.0,224.0,141013.0,204013.0,2024,295.724,6.292,4.15272,2.242,0.304,0.02242,12.32,0.448,0.112,705.065,23.972210000000004,22.56208,1020.065,57.12364000000001,32.64208,2123.5558499999997,59.4913,75224.75829999999,MERAH,351561.0,0.21397355878496188
Kuningan,28865.0,6675.0,4835.0,7933.0,135795.0,2024,1356.655,28.865,19.050900000000002,787.65,106.8,7.8765,265.925,9.67,2.4175,39.665,1.34861,1.26928,678.975,38.022600000000004,21.7272,3313.57621,52.34138,106650.59958000001,MERAH,184103.0,0.5792985425549828
Cirebon,4200.0,100.0,1749.0,21745.0,308482.0,2024,197.4,4.2,2.772,11.8,1.6,0.118,96.195,3.498,0.8745,108.725,3.69665,3.4792,1542.41,86.37496,49.35712,2055.89961,56.60082,72564.40638,MERAH,336276.0,0.2157882405524034
Majalengka,10150.0,280.0,309.0,16365.0,1408918.0,2024,477.05,10.15,6.699,33.04,4.48,0.33039999999999997,16.995,0.618,0.1545,81.825,2.7820500000000004,2.6184000000000003,7044.59,394.49704,225.42688,8066.0270900000005,235.22918,288184.49122,MERAH,1436022.0,0.20068250432096446
Sumedang,27673.0,4299.0,2530.0,34950.0,83700.0,2024,1300.631,27.673,18.26418,507.282,68.784,5.07282,139.15,5.06,1.265,174.75,5.9415,5.592,418.5,23.436000000000003,13.392,2671.2075000000004,43.586,86344.1,MERAH,153152.0,0.5637804272879231
Indramayu,6704.0,0.0,509.0,103505.0,366076.0,2024,315.088,6.704,4.42464,0.0,0.0,0.0,27.995,1.018,0.2545,517.525,17.595850000000002,16.5608,1830.38,102.50128000000001,58.572160000000004,2818.80713,79.8121,100076.80614,MERAH,476794.0,0.20989527162674027
Subang,27119.0,10502.0,1581.0,22729.0,288020.0,2024,1274.593,27.119,17.89854,1239.236,168.032,12.392359999999998,86.955,3.162,0.7905,113.645,3.8639300000000003,3.63664,1440.1,80.6456,46.083200000000005,4437.35153,80.80124,145658.17144,MERAH,349951.0,0.41622447554086145
Purwakarta,10066.0,0.0,3122.0,14961.0,100163.0,2024,473.102,10.066,6.643560000000001,0.0,0.0,0.0,171.71,6.244,1.561,74.805,2.5433700000000004,2.3937600000000003,500.815,28.045640000000002,16.02608,1267.3310099999999,26.6244,42540.73428,MERAH,128312.0,0.3315413545108797
Karawang,3963.0,18.0,105.0,16574.0,98651.0,2024,186.261,3.963,2.61558,2.124,0.288,0.02124,5.775,0.21,0.0525,82.87,2.8175800000000004,2.65184,493.255,27.622280000000003,15.78416,805.18586,21.125320000000002,28143.413880000004,MERAH,119311.0,0.23588280946434112
Bekasi,12245.0,51.0,171.0,53421.0,150631.0,2024,575.515,12.245,8.081700000000001,6.018,0.816,0.06018,9.405,0.342,0.0855,267.105,9.081570000000001,8.547360000000001,753.155,42.176680000000005,24.10096,1675.85925,40.8757,57756.1195,MERAH,216519.0,0.2667485047501605
Bandung Barat,5736.0,26469.0,487.0,14990.0,176553.0,2024,269.592,5.736,3.7857600000000002,3123.342,423.504,31.23342,26.785,0.974,0.2435,74.95,2.5483000000000002,2.3984,882.765,49.43484,28.24848,4859.6311399999995,65.90956,153535.70532,MERAH,224235.0,0.6847089228710951
Pangandaran,14677.0,0.0,242.0,14751.0,49802.0,2024,689.819,14.677,9.686819999999999,0.0,0.0,0.0,13.31,0.484,0.121,73.755,2.50767,2.36016,249.01,13.944560000000001,7.96832,1057.5072299999997,20.1363,34946.321939999994,MERAH,79472.0,0.43973125050332185
Kota Bogor,386.0,724.0,42.0,2400.0,5623.0,2024,18.142,0.386,0.25476000000000004,85.432,11.584,0.85432,2.31,0.084,0.021,12.0,0.40800000000000003,0.384,28.115,1.57444,0.89968,160.03544000000002,2.41376,5120.63872,MERAH,9175.0,0.5581077623978201
Kota Sukabumi,608.0,39.0,0.0,37.0,1235.0,2024,28.576,0.608,0.40128,4.602,0.624,0.04602,0.0,0.0,0.0,0.185,0.0062900000000000005,0.00592,6.175,0.3458,0.1976,41.12209,0.65082,1323.88582,MERAH,1919.0,0.6898831787389265
Kota Bandung,1452.0,254.0,4.0,95.0,4452.0,2024,68.244,1.452,0.9583200000000001,29.972,4.064,0.29972,0.22,0.008,0.002,0.475,0.01615,0.015200000000000002,22.26,1.2465600000000001,0.7123200000000001,127.95770999999999,1.9875600000000002,4109.5192799999995,MERAH,6257.0,0.6567874828192424
