kabupaten,total_CH4_t,total_N2O_t,total_CO2eq_t,tier,ghg_intensity
Kab. Garut,11347.547040000001,145.08998000000003,356180.16182000004,MERAH,1.0169399361593392
Kab. Bandung,9669.51,123.00800000000001,303343.4,MERAH,1.0324826412525527
Kab. Bandung Barat,7641.900000000001,94.61,239044.85,MERAH,1.055385651214128
Kab. Tasikmalaya,5754.22,86.61,184069.81,MERAH,0.7120688974854932
Kab. Sukabumi,5093.099999999999,83.11999999999999,164633.59999999998,MERAH,0.5817441696113074
Kab. Cianjur,4140.25,68.36,134042.4,MERAH,0.5689405772495755
Kab. Ciamis,3728.8799999999997,63.31999999999999,121188.43999999999,MERAH,0.5296697552447552
Kab. Kuningan,3066.5600000000004,52.75,99842.43000000001,MERAH,0.5175864696734059
Kab. Majalengka,2709.18,47.410000000000004,88420.69,MERAH,0.503248093340922
Kab. Sumedang,2429.41,43.650000000000006,79590.73,MERAH,0.4734725163593099
Kab. Subang,1620.1399999999996,29.594,53206.329999999994,MERAH,0.44975765004226537
Kab. Indramayu,1391.2900000000002,25.270000000000003,45652.670000000006,MERAH,0.44978000000000007
Kab. Pangandaran,1134.74,21.619999999999997,37502.020000000004,MERAH,0.41484535398230094
Kab. Purwakarta,1050.3200000000002,20.078,34729.630000000005,MERAH,0.41792575210589655
Kab. Karawang,1048.7,17.872,34099.68,MERAH,0.49134985590778096
Kab. Bekasi,413.41,7.905999999999999,13670.570000000002,MERAH,0.42323746130030965
Kota Tasikmalaya,205.71499999999997,3.8070000000000004,6768.875,MERAH,0.40411194029850744
Kota Banjar,130.404,2.4330000000000003,4296.057,MERAH,0.4003780987884436
Kota Bogor,58.815,1.093,1936.465,MERAH,0.42005748373101953
Kota Sukabumi,45.846999999999994,0.8409,1506.5545,MERAH,0.432296843615495
Kota Bandung,31.528000000000002,0.577,1035.689,MERAH,0.44071872340425533
Kota Cirebon,20.396,0.3754,670.569,MERAH,0.4382803921568627
Kota Cimahi,14.414,0.26,472.49199999999996,KUNING,0.42186785714285713
Kota Bekasi,11.649000000000001,0.21760000000000002,383.836,KUNING,0.4172130434782609
Kota Depok,6.347,0.1248,210.788,KUNING,0.3764071428571429
