kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos,risk_pred,risk_proba_severe
Bandung,1,20.64,88.83,68.47,26.23,210.6,0.7075,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.4999999999999999,0.8660254037844387,0,0.0
Bandung,1,20.64,88.83,68.47,26.23,210.6,0.7075,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.4999999999999999,0.8660254037844387,0,0.00014285714285714284
Kota Cimahi,1,22.21,87.71,71.03,35.78,140.5,0.3404,0,cimahi,Kota Cimahi,1140,28.5,0.0263157894736842,0.4999999999999999,0.8660254037844387,0,0.0008200692415882289
Kota Tasikmalaya,1,23.48,88.66,73.25,30.38,242.9,0.6429,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.4999999999999999,0.8660254037844387,1,0.00018725405688255371
Kota Tasikmalaya,1,23.48,88.66,73.25,30.38,242.9,0.6429,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.4999999999999999,0.8660254037844387,1,0.00020392072354922042
Tasikmalaya,1,23.66,87.69,73.46,27.31,203.9,0.8031,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.4999999999999999,0.8660254037844387,1,0.00011573655103066868
Tasikmalaya,1,23.66,87.69,73.46,27.31,203.9,0.8031,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.4999999999999999,0.8660254037844387,1,0.00013240321769733535
Ciamis,1,24.46,87.28,74.76,27.87,236.8,0.7897,1,ciamis,Kabupaten Ciamis,546900,381.6468946266573,0.0073139513622234,0.4999999999999999,0.8660254037844387,1,0.0001500897448041523
Kota Banjar,1,25.37,87.96,76.36,29.94,277.2,0.7254,1,banjar,Kota Banjar,10610,93.0701754385965,0.0188501413760603,0.4999999999999999,0.8660254037844387,1,0.00020392072354922042
Bekasi,1,26.09,83.19,77.02,32.83,167.3,0.4662,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.4999999999999999,0.8660254037844387,1,0.009887380877849664
Bekasi,1,26.09,83.19,77.02,32.83,167.3,0.4662,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,0.4999999999999999,0.8660254037844387,1,0.009366852960394502
Bogor,1,23.51,86.31,73.09,29.47,201.7,0.7199,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.4999999999999999,0.8660254037844387,1,0.00018725405688255371
Bogor,1,23.51,86.31,73.09,29.47,201.7,0.7199,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.4999999999999999,0.8660254037844387,1,0.00034677786640636326
Cianjur,1,22.65,87.88,71.78,26.47,215.3,0.7866,0,cianjur,Kabupaten Cianjur,611500,175.7183908045977,0.008176614881439,0.4999999999999999,0.8660254037844387,0,2.9411764705882354e-05
Cirebon,1,25.81,85.65,76.85,30.79,288.2,0.5195,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,0.4999999999999999,0.8660254037844387,1,0.0007064253460168829
Cirebon,1,25.81,85.65,76.85,30.79,288.2,0.5195,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,0.4999999999999999,0.8660254037844387,1,0.0005421516784098819
Garut,1,21.68,88.31,70.18,25.67,205.9,0.7776,0,garut,Kabupaten Garut,1371800,447.5693311582382,0.0182242309374544,0.4999999999999999,0.8660254037844387,0,0.0
Indramayu,1,26.04,84.93,77.14,31.17,217.0,0.4019,1,indramayu,Kabupaten Indramayu,175600,83.65888518342068,0.0005694760820045,0.4999999999999999,0.8660254037844387,1,0.07010058318443967
Karawang,1,26.04,83.82,77.01,31.12,169.2,0.5173,1,karawang,Kabupaten Karawang,107600,65.13317191283294,0.0009293680297397,0.4999999999999999,0.8660254037844387,1,0.01096302220957453
Kota Bandung,1,21.91,88.37,70.57,36.03,164.9,0.3545,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.4999999999999999,0.8660254037844387,0,0.0
Kota Bandung,1,21.91,88.37,70.57,36.03,164.9,0.3545,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.4999999999999999,0.8660254037844387,0,0.0029605921174052224
Kota Bogor,1,24.01,86.44,73.93,35.26,212.2,0.5066,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.4999999999999999,0.8660254037844387,1,0.003361507282278682
Kota Bogor,1,24.01,86.44,73.93,35.26,212.2,0.5066,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.4999999999999999,0.8660254037844387,1,0.002291177611949011
Kota Cirebon,1,25.26,85.82,75.95,29.93,286.1,0.4201,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,0.4999999999999999,0.8660254037844387,1,0.010053333005807151
Kota Cirebon,1,25.26,85.82,75.95,29.93,286.1,0.4201,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,0.4999999999999999,0.8660254037844387,1,0.008243604792745603
Kota Sukabumi,1,22.2,88.91,71.11,32.51,223.1,0.6032,0,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,0.4999999999999999,0.8660254037844387,0,0.0010510812382991802
Kota Sukabumi,1,22.2,88.91,71.11,32.51,223.1,0.6032,0,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,0.4999999999999999,0.8660254037844387,0,0.0010815727897584737
Kuningan,1,23.83,88.64,73.83,27.79,323.7,0.766,1,kuningan,Kabupaten Kuningan,388700,347.9856759176365,0.0077180344738873,0.4999999999999999,0.8660254037844387,1,0.0001500897448041523
Majalengka,1,23.89,88.55,73.93,29.04,281.2,0.7461,1,majalengka,Kabupaten Majalengka,290500,241.27906976744185,0.0017211703958691,0.4999999999999999,0.8660254037844387,1,0.0006876443396384279
Purwakarta,1,24.27,86.38,74.36,29.68,202.0,0.7186,1,purwakarta,Kabupaten Purwakarta,145250,176.06060606060606,0.0010327022375215,0.4999999999999999,0.8660254037844387,1,0.001283098885092973
Subang,1,24.91,86.19,75.41,30.4,213.6,0.5922,1,subang,Kabupaten Subang,206200,109.506107275624,0.0009699321047526,0.4999999999999999,0.8660254037844387,1,0.0007179583228439773
Sukabumi,1,23.13,88.77,72.67,26.65,203.0,0.7926,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,0.4999999999999999,0.8660254037844387,1,0.00023869093635064538
Sukabumi,1,23.13,88.77,72.67,26.65,203.0,0.7926,1,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,0.4999999999999999,0.8660254037844387,1,0.00022782446311858076
Sumedang,1,23.03,89.15,72.54,28.46,255.8,0.7717,1,sumedang,Kabupaten Sumedang,286500,188.23915900131405,0.0069808027923211,0.4999999999999999,0.8660254037844387,1,0.00033317605692272247
Kota Bekasi,1,25.97,82.84,76.79,37.77,175.0,0.3615,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.4999999999999999,0.8660254037844387,1,0.029260746295012956
Kota Bekasi,1,25.97,82.84,76.79,37.77,175.0,0.3615,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,0.4999999999999999,0.8660254037844387,1,0.029633729063878088
Kota Depok,1,25.44,84.03,76.06,36.89,186.1,0.4438,1,depok,Kota Depok,610,3.05,0.0163934426229508,0.4999999999999999,0.8660254037844387,1,0.011636935851996379
Bandung,2,20.23,90.52,67.87,24.63,341.1,0.612,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.8660254037844386,0.5000000000000001,0,0.0
Bandung,2,20.23,90.52,67.87,24.63,341.1,0.612,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.8660254037844386,0.5000000000000001,0,0.0
Kota Cimahi,2,21.67,89.5,70.26,31.57,201.9,0.3398,0,cimahi,Kota Cimahi,1140,28.5,0.0263157894736842,0.8660254037844386,0.5000000000000001,0,0.0
Kota Tasikmalaya,2,23.26,90.41,73.03,29.65,360.8,0.6608,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.8660254037844386,0.5000000000000001,1,0.00015648482611332296
Kota Tasikmalaya,2,23.26,90.41,73.03,29.65,360.8,0.6608,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.8660254037844386,0.5000000000000001,1,0.00017315149277998963
Tasikmalaya,2,23.54,88.8,73.37,28.28,308.3,0.7834,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.8660254037844386,0.5000000000000001,1,9.462915601023017e-05
Tasikmalaya,2,23.54,88.8,73.37,28.28,308.3,0.7834,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.8660254037844386,0.5000000000000001,1,0.00011129582267689684
Ciamis,2,24.3,88.73,74.64,28.19,321.2,0.8018,1,ciamis,Kabupaten Ciamis,546900,381.6468946266573,0.0073139513622234,0.8660254037844386,0.5000000000000001,1,0.00011932051403492152
Kota Banjar,2,25.16,89.89,76.21,29.63,336.6,0.7469,1,banjar,Kota Banjar,10610,93.0701754385965,0.0188501413760603,0.8660254037844386,0.5000000000000001,1,0.00017315149277998963
Bekasi,2,25.55,85.75,76.43,31.27,385.0,0.4429,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.8660254037844386,0.5000000000000001,1,0.007509245159501797
Bekasi,2,25.55,85.75,76.43,31.27,385.0,0.4429,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,0.8660254037844386,0.5000000000000001,1,0.008203242061489485
