kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category
Bandung,1,20.64,88.83,68.47,26.23,210.6,0.7075,0
Kota Cimahi,1,22.21,87.71,71.03,35.78,140.5,0.3404,0
Kota Tasikmalaya,1,23.48,88.66,73.25,30.38,242.9,0.6429,1
Tasikmalaya,1,23.66,87.69,73.46,27.31,203.9,0.8031,1
Ciamis,1,24.46,87.28,74.76,27.87,236.8,0.7897,1
Kota Banjar,1,25.37,87.96,76.36,29.94,277.2,0.7254,1
Bekasi,1,26.09,83.19,77.02,32.83,167.3,0.4662,1
Bogor,1,23.51,86.31,73.09,29.47,201.7,0.7199,1
Cianjur,1,22.65,87.88,71.78,26.47,215.3,0.7866,0
Cirebon,1,25.81,85.65,76.85,30.79,288.2,0.5195,1
Garut,1,21.68,88.31,70.18,25.67,205.9,0.7776,0
Indramayu,1,26.04,84.93,77.14,31.17,217.0,0.4019,1
Karawang,1,26.04,83.82,77.01,31.12,169.2,0.5173,1
Kota Bandung,1,21.91,88.37,70.57,36.03,164.9,0.3545,0
Kota Bogor,1,24.01,86.44,73.93,35.26,212.2,0.5066,1
Kota Cirebon,1,25.26,85.82,75.95,29.93,286.1,0.4201,1
Kota Sukabumi,1,22.2,88.91,71.11,32.51,223.1,0.6032,0
Kuningan,1,23.83,88.64,73.83,27.79,323.7,0.766,1
Majalengka,1,23.89,88.55,73.93,29.04,281.2,0.7461,1
Purwakarta,1,24.27,86.38,74.36,29.68,202.0,0.7186,1
Subang,1,24.91,86.19,75.41,30.4,213.6,0.5922,1
Sukabumi,1,23.13,88.77,72.67,26.65,203.0,0.7926,1
Sumedang,1,23.03,89.15,72.54,28.46,255.8,0.7717,1
Kota Bekasi,1,25.97,82.84,76.79,37.77,175.0,0.3615,1
Kota Depok,1,25.44,84.03,76.06,36.89,186.1,0.4438,1
Bandung,2,20.23,90.52,67.87,24.63,341.1,0.612,0
Kota Cimahi,2,21.67,89.5,70.26,31.57,201.9,0.3398,0
Kota Tasikmalaya,2,23.26,90.41,73.03,29.65,360.8,0.6608,1
Tasikmalaya,2,23.54,88.8,73.37,28.28,308.3,0.7834,1
Ciamis,2,24.3,88.73,74.64,28.19,321.2,0.8018,1
Kota Banjar,2,25.16,89.89,76.21,29.63,336.6,0.7469,1
Bekasi,2,25.55,85.75,76.43,31.27,385.0,0.4429,1
Bogor,2,23.04,88.92,72.53,25.87,394.0,0.6293,1
Cianjur,2,22.5,88.4,71.58,27.03,368.0,0.7233,0
