kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos,risk_pred,risk_proba_severe
Bandung,1,20.86,89.64,68.88,24.89,311.6,0.6885,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.4999999999999999,0.8660254037844387,0,0
Bandung,1,20.86,89.64,68.88,24.89,311.6,0.6885,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.4999999999999999,0.8660254037844387,0,0
Kota Cimahi,1,22.31,88.89,71.3,0.0,203.3,0.3564,0,cimahi,Kota Cimahi,1140,28.5,0.0263157894736842,0.4999999999999999,0.8660254037844387,0,0
Kota Tasikmalaya,1,23.65,89.73,73.64,29.23,393.8,0.6573,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.4999999999999999,0.8660254037844387,1,0
Kota Tasikmalaya,1,23.65,89.73,73.64,29.23,393.8,0.6573,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.4999999999999999,0.8660254037844387,1,0
Tasikmalaya,1,23.93,88.55,73.99,26.39,332.9,0.7947,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.4999999999999999,0.8660254037844387,1,0
Tasikmalaya,1,23.93,88.55,73.99,26.39,332.9,0.7947,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.4999999999999999,0.8660254037844387,1,0
Ciamis,1,24.63,88.56,75.19,27.96,386.9,0.7526,1,ciamis,Kabupaten Ciamis,546900,381.6468946266573,0.0073139513622234,0.4999999999999999,0.8660254037844387,1,0
Kota Banjar,1,25.5,89.75,76.78,31.08,446.3,0.6541,1,banjar,Kota Banjar,10610,93.0701754385965,0.0188501413760603,0.4999999999999999,0.8660254037844387,1,0
Bekasi,1,26.25,84.72,77.47,30.9,294.9,0.4024,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.4999999999999999,0.8660254037844387,1,0
