kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category
Bandung,1,21.45,89.79,69.89,26.46,244.2,0.6791,0
Kota Cimahi,1,22.99,88.71,72.43,32.89,179.1,0.355,1
Kota Tasikmalaya,1,24.16,89.28,74.45,30.28,253.8,0.636,1
Tasikmalaya,1,24.3,88.67,74.63,28.5,225.5,0.7797,1
Ciamis,1,25.05,88.64,75.9,29.0,269.1,0.7451,1
Kota Banjar,1,25.98,89.32,77.54,30.75,298.1,0.6688,1
Bekasi,1,26.73,85.29,78.33,30.25,242.7,0.374,1
Bogor,1,24.32,87.71,74.58,26.8,321.2,0.6214,1
Cianjur,1,23.41,89.46,73.2,27.8,245.4,0.7477,1
Cirebon,1,26.46,86.89,78.06,30.44,345.8,0.5048,1
Garut,1,22.34,89.24,71.38,27.12,214.7,0.7625,0
Indramayu,1,26.66,86.97,78.41,30.83,276.4,0.3645,1
Karawang,1,26.68,85.63,78.29,29.95,233.9,0.4254,1
Kota Bandung,1,22.7,89.35,71.98,33.28,216.9,0.349,0
Kota Bogor,1,24.83,87.75,75.43,28.54,341.9,0.5262,1
Kota Cirebon,1,25.93,86.92,77.18,34.7,359.0,0.4662,1
Kota Sukabumi,1,23.01,90.16,72.59,32.14,303.3,0.5305,1
Kuningan,1,24.53,89.56,75.11,29.44,346.5,0.7149,1
Majalengka,1,24.62,89.38,75.25,28.42,341.4,0.6165,1
Purwakarta,1,25.0,87.71,75.72,29.74,265.9,0.4927,1
Subang,1,25.58,87.56,76.68,30.29,268.5,0.5054,1
Sukabumi,1,23.95,89.89,74.15,28.31,276.9,0.7571,1
Sumedang,1,23.8,90.01,73.91,27.67,315.9,0.7052,1
Kota Bekasi,1,26.62,85.06,78.11,38.68,260.1,0.248,1
Kota Depok,1,26.16,86.05,77.47,37.82,325.1,0.4319,1
Bandung,2,21.59,89.9,70.14,26.58,267.9,0.7181,0
Kota Cimahi,2,22.98,89.66,72.49,35.72,160.9,0.3623,1
Kota Tasikmalaya,2,24.36,89.33,74.8,28.55,315.0,0.6714,1
Tasikmalaya,2,24.6,88.26,75.1,27.72,256.1,0.8002,1
Ciamis,2,25.36,87.86,76.34,28.08,288.5,0.7708,1
Kota Banjar,2,26.3,88.4,77.97,30.08,335.0,0.7299,1
Bekasi,2,26.77,86.2,78.51,29.94,235.2,0.4577,1
Bogor,2,24.39,87.97,74.72,29.3,321.8,0.6867,1
Cianjur,2,23.72,88.6,73.66,27.12,271.2,0.7761,1
Cirebon,2,26.64,86.81,78.37,30.95,260.0,0.584,1
Garut,2,22.63,89.19,71.87,26.2,251.6,0.784,0
Indramayu,2,26.84,86.82,78.69,30.24,192.4,0.5076,1
Karawang,2,26.71,86.7,78.47,29.6,220.3,0.4754,1
Kota Bandung,2,22.69,90.24,72.05,35.19,185.9,0.3672,1
Kota Bogor,2,24.89,88.03,75.57,35.02,361.4,0.4951,1
Kota Cirebon,2,26.1,86.85,77.47,31.0,265.7,0.4635,1
Kota Sukabumi,2,23.33,88.91,73.02,32.14,301.9,0.5771,1
Kuningan,2,24.77,89.31,75.5,28.32,354.9,0.761,1
Majalengka,2,24.74,89.92,75.51,28.44,305.9,0.7526,1
Purwakarta,2,25.05,88.84,75.92,27.87,294.6,0.6861,1
Subang,2,25.67,88.17,76.89,29.28,249.2,0.6473,1
Sukabumi,2,24.34,88.45,74.69,27.8,260.9,0.7571,1
Sumedang,2,23.86,90.69,74.09,27.9,298.7,0.7688,1
Kota Bekasi,2,26.65,85.96,78.27,0.0,249.7,0.3243,1
Kota Depok,2,26.17,86.86,77.57,36.67,281.9,0.4324,1
Bandung,3,21.56,89.21,70.06,27.35,248.5,0.735,0
Kota Cimahi,3,23.0,88.6,72.43,35.15,164.6,0.3488,1
Kota Tasikmalaya,3,24.29,89.5,74.7,30.17,304.1,0.6705,1
Tasikmalaya,3,24.53,88.35,75.0,27.96,267.8,0.8192,1
Ciamis,3,25.3,87.98,76.25,28.53,281.3,0.8061,1
Kota Banjar,3,26.21,88.63,77.86,30.56,288.9,0.7542,1
Bekasi,3,26.88,84.71,78.5,32.58,205.0,0.5211,1
Bogor,3,24.34,87.88,74.62,29.92,307.9,0.7309,1
Cianjur,3,23.6,88.32,73.43,27.38,253.8,0.787,1
Cirebon,3,26.7,85.94,78.35,31.37,259.4,0.6642,1
Garut,3,22.64,88.4,71.81,26.49,272.8,0.8063,0
Indramayu,3,26.87,85.69,78.61,29.49,205.4,0.6904,1
Karawang,3,26.79,85.36,78.43,31.27,199.9,0.5006,1
Kota Bandung,3,22.73,88.86,72.0,35.55,180.6,0.3716,1
Kota Bogor,3,24.8,88.11,75.42,34.8,308.5,0.5124,1
Kota Cirebon,3,26.19,85.8,77.49,34.48,261.5,0.4824,1
Kota Sukabumi,3,23.13,89.41,72.72,30.22,262.8,0.5988,1
Kuningan,3,24.71,89.08,75.36,28.27,325.6,0.7996,1
Majalengka,3,24.76,88.75,75.43,29.42,294.9,0.7369,1
Purwakarta,3,25.03,87.86,75.77,29.26,269.5,0.7348,1
Subang,3,25.68,87.08,76.78,29.57,236.2,0.7174,1
Sukabumi,3,24.11,88.83,74.33,27.14,283.9,0.7881,1
Sumedang,3,23.89,89.39,74.02,28.41,298.9,0.7859,1
Kota Bekasi,3,26.77,84.37,78.28,36.78,218.7,0.3811,1
Kota Depok,3,26.24,85.71,77.56,36.21,233.9,0.4622,1
Bandung,4,22.11,89.35,70.99,26.8,438.4,0.7203,0
Kota Cimahi,4,23.55,88.97,73.39,34.07,374.0,0.3549,1
Kota Tasikmalaya,4,24.54,90.56,75.23,31.18,415.7,0.6822,1
Tasikmalaya,4,24.72,89.76,75.46,28.04,364.5,0.8143,1
Ciamis,4,25.46,89.2,76.64,28.69,357.2,0.808,1
Kota Banjar,4,26.38,89.3,78.22,30.72,357.7,0.7258,1
Bekasi,4,27.35,86.21,79.46,33.05,229.7,0.5355,2
Bogor,4,24.94,88.06,75.65,29.84,535.1,0.7259,1
Cianjur,4,24.09,89.38,74.35,27.82,437.8,0.7797,1
Cirebon,4,27.29,84.81,79.19,32.0,255.1,0.6563,2
Garut,4,22.96,89.4,72.44,27.0,366.2,0.7981,1
Indramayu,4,27.49,85.42,79.6,30.21,206.7,0.685,2
Karawang,4,27.3,86.55,79.43,31.66,217.9,0.5394,2
Kota Bandung,4,23.25,89.29,72.91,33.89,385.3,0.3773,1
Kota Bogor,4,25.49,88.09,76.57,34.99,631.3,0.5053,1
Kota Cirebon,4,26.75,84.5,78.27,35.6,250.8,0.4839,1
Kota Sukabumi,4,23.83,89.06,73.88,32.81,529.9,0.5776,1
Kuningan,4,25.15,88.24,76.03,29.2,332.6,0.7883,1
Majalengka,4,25.38,87.85,76.36,29.95,306.2,0.684,1
Purwakarta,4,25.57,88.44,76.76,28.94,415.6,0.7214,1
Subang,4,26.26,87.46,77.81,30.1,311.9,0.6891,1
Sukabumi,4,24.73,89.21,75.42,27.59,439.8,0.795,1
Sumedang,4,24.44,89.19,74.92,27.97,366.3,0.7682,1
Kota Bekasi,4,27.23,86.11,79.26,36.59,233.9,0.3909,2
Kota Depok,4,26.73,87.19,78.55,36.34,428.0,0.465,1
Bandung,5,22.15,86.17,70.81,25.86,50.9,0.7194,0
Kota Cimahi,5,23.61,86.44,73.27,32.68,37.7,0.3529,1
Kota Tasikmalaya,5,23.86,88.94,73.93,27.68,72.6,0.658,1
Tasikmalaya,5,24.14,88.1,74.31,25.91,65.7,0.8147,1
Ciamis,5,24.86,87.78,75.5,26.73,69.1,0.7921,1
Kota Banjar,5,25.75,88.03,77.01,28.86,63.8,0.6825,1
Bekasi,5,27.71,81.55,79.45,32.12,53.1,0.5431,2
Bogor,5,25.15,84.68,75.65,28.5,144.4,0.7337,1
Cianjur,5,24.05,87.05,74.06,26.89,74.6,0.783,1
Cirebon,5,27.5,78.27,78.7,30.47,65.5,0.6353,1
Garut,5,22.66,86.74,71.72,25.41,62.7,0.7966,0
Indramayu,5,28.04,75.38,79.16,31.11,63.8,0.5867,2
Karawang,5,27.75,80.98,79.45,30.55,53.3,0.6243,2
Kota Bandung,5,23.39,85.74,72.84,32.48,37.3,0.3728,1
Kota Bogor,5,25.68,85.05,76.57,32.5,170.6,0.5239,1
Kota Cirebon,5,26.9,78.49,77.76,32.65,60.2,0.4855,1
Kota Sukabumi,5,23.89,86.66,73.76,30.55,110.4,0.5574,1
Kuningan,5,24.95,84.04,75.25,26.8,87.1,0.7751,1
Majalengka,5,25.49,81.16,75.82,29.04,52.7,0.6766,1
Purwakarta,5,25.93,83.22,76.77,28.91,62.5,0.7203,1
Subang,5,26.74,79.92,77.69,30.26,55.6,0.6486,1
